bank,appId,review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
Abyssinia Bank,com.boa.boaMobileBanking,b10df188-8503-4627-bd49-19effcf6d289,Tewodros Wolde,https://play-lh.googleusercontent.com/a-/ALV-UjVG3Gq4mosSJ0vKeNTwV0v0OKioMkRrI63oHSLqg7e87iVGH2k,2,24.03.04,2024-04-28 20:48:24,,,24.03.04,5,its good app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,2cca5354-a418-4f33-8775-5e3297c7ee19,suleman talegegn,https://play-lh.googleusercontent.com/a-/ALV-UjUiDXCMy_70JoLJEVjTyyUlxAnjGg-aASQGhKttxdTVIIMm2O6W,1,24.03.04,2024-04-28 20:39:57,,,24.03.04,5,Ok,,,,
Abyssinia Bank,com.boa.boaMobileBanking,3f788aa6-a2fe-41c0-a9fc-ef60c341556f,Fasika Mekbib (X21E),https://play-lh.googleusercontent.com/a-/ALV-UjUTaEcnMEy1Wa2mlnIxlRKo7138Dt_cCs8v4iMBTs_jhFq5qBGM,2,24.04.23,2024-04-28 20:04:58,,,24.04.23,1,"This Platform is need Re Development 😔 even I try to type my OTP but Its not working for me, It's Very Bad Application for Payment system",,,,
Abyssinia Bank,com.boa.boaMobileBanking,bcba2128-069d-4cbd-ae39-28d6b54382da,Tarekegn Tare,https://play-lh.googleusercontent.com/a/ACg8ocLBAHrg1oD9nLA2jUncWEKRlz8RDEuwmBs9o9-3wwDFF55ySA=mo,1,24.03.04,2024-04-28 16:58:17,,,24.03.04,2,Our system is not work,,,,
Abyssinia Bank,com.boa.boaMobileBanking,c39ef87d-e442-4f7f-a960-9f9abc072611,Abirham Agent,https://play-lh.googleusercontent.com/a/ACg8ocLlMNlTAIq0aSWsktR35BRsghd_G_X5lNIH3RSbuKVXbmgj5w=mo,1,24.03.04,2024-04-28 13:37:25,,,24.03.04,5,best,,,,
Abyssinia Bank,com.boa.boaMobileBanking,a8ee8ee6-d73f-4144-ad45-fb25582a8b25,AB Entertainment,https://play-lh.googleusercontent.com/a-/ALV-UjUhWHt4-ygZU13tU6Xll2vYtqCSlfLO4k84dZQm0y3jp9XjnYw3,17,24.04.23,2024-04-28 13:02:24,,,24.04.23,1,More failure after update. have multiple connection problem issues. To make one request i'm try more then 4 or 5 times pre every process. Works not more than 8 hour in a day 24 hour.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,b682e2db-a533-40e2-8a2a-951c1e7cb84d,Emgu2 Cha1,https://play-lh.googleusercontent.com/a-/ALV-UjWYs1VBd0aci6d-4Fug4aP8QwEzLxkn3vxxSvmdv9xkpE4ikgCh,1,,2024-04-28 12:36:25,,,,5,Nice app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,6e540a39-b5f3-44a6-856a-e4f8f0f226af,Abey Mulatu,https://play-lh.googleusercontent.com/a/ACg8ocJw9pFoaXrw9Bp1AFW0IVAluJ7I_JrQHpqLxmDbtuBfUKk-mA=mo,1,24.03.04,2024-04-28 07:09:27,,,24.03.04,1,It is not good slow app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,be0151f5-b66b-4700-bcd8-d659fd821c44,Samuel Ayana,https://play-lh.googleusercontent.com/a-/ALV-UjXRHxKdBx7Zr3pnnCWioLkATn9gUv7jOYxVsq2TEVhVE_X-4Bs,1,24.03.04,2024-04-27 23:30:46,,,24.03.04,5,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,6a5b273b-d9d2-47f4-b992-df36fec86cbb,Hawi Adicho,https://play-lh.googleusercontent.com/a-/ALV-UjWYFGM6USy7ao2J65ZXYfqErbqeEHvEQDiGT4KxnoAUmTVu2Sw,2,23.12.09,2024-04-27 20:50:35,,,23.12.09,2,"Nn ,n An, NNE.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,fe39ceca-ea96-473c-bfea-1a3c896dff36,Luh Kel,https://play-lh.googleusercontent.com/a/ACg8ocKhSpDSlpqlOQkmLk4kQl1QifVKpC7KJSxlmPnSc0zzlc3BCQ=mo,0,,2024-04-27 19:57:21,,,,1,I't is not working lol,,,,
Abyssinia Bank,com.boa.boaMobileBanking,318513af-9b29-43c1-990d-fc4a678802f3,Phoenix Virgo,https://play-lh.googleusercontent.com/a-/ALV-UjVSEjYhwqiaEC94qmiLUYwiiqDGk8svzRPXNYkyMx4DKsUcaZCw,2,24.03.04,2024-04-27 19:33:54,,,24.03.04,2,It is not fast when sending mony,,,,
Abyssinia Bank,com.boa.boaMobileBanking,97088da4-b2b2-41d5-aed3-d5779224dd2c,Gadisa Worku,https://play-lh.googleusercontent.com/a-/ALV-UjWIey4nHw9IVIT6L-cUTO_qnba38Tfjisej-x1idbReVMoHdT_k,3,,2024-04-27 18:52:17,,,,5,wow best,,,,
Abyssinia Bank,com.boa.boaMobileBanking,acc4256d-ac62-4abd-908e-ebea3ace060a,Temesgen Yekoye,https://play-lh.googleusercontent.com/a/ACg8ocIHTRxO-r5s4bbZtNzX73tKzRdEYo7PZVQx9Px_FN54E66n2w=mo,1,24.04.23,2024-04-27 14:01:45,,,24.04.23,1,Nice,,,,
Abyssinia Bank,com.boa.boaMobileBanking,45a55117-6322-4d59-b931-415173ccd8c1,Ahadu tech,https://play-lh.googleusercontent.com/a-/ALV-UjWOhd6tDkB5D0Ws9KjbNiDZMM0fSVJ0ykgIWeFwpaPTgsqmNCU,4,24.03.04,2024-04-27 13:02:45,,,24.03.04,2,It doesn't look like banking app it's unresponsive worest banking app in the world,,,,
Abyssinia Bank,com.boa.boaMobileBanking,182ff188-5ec0-4a02-9423-752573aa862e,Liul Bekalu,https://play-lh.googleusercontent.com/a/ACg8ocKFERErAp4bECuMfUtzfj5F5vHikfcRX5LiPVmfERUqh6rwTg=mo,1,24.04.23,2024-04-27 12:20:02,,,24.04.23,2,Hard to access pls modify it,,,,
Abyssinia Bank,com.boa.boaMobileBanking,4295a88b-b1fb-4a30-b1c8-e4b4c505c9ea,Betsegaw Daniel,https://play-lh.googleusercontent.com/a-/ALV-UjUfc4Ry5-2vIu7OsO3ZIHpLF7hyido-Kct_DFHO5yBp1AyCNFE,0,24.03.04,2024-04-27 10:47:47,,,24.03.04,1,የተመታ app new,,,,
Abyssinia Bank,com.boa.boaMobileBanking,90078873-2750-4192-8314-7b85a6873595,Israel Adane,https://play-lh.googleusercontent.com/a/ACg8ocJwUHq0xROIYP4NYpwuFbW9zbZAGHwZCicA7MbIBi8NAzeQ8A=mo,1,24.02.14,2024-04-27 03:48:55,,,24.02.14,5,👍,,,,
Abyssinia Bank,com.boa.boaMobileBanking,cf9093f2-8cde-4168-89ea-bc2a2c147a8b,Aschalew Zawde,https://play-lh.googleusercontent.com/a/ACg8ocLWW27nJNGmrcFjl0AHfkLr3facO7Cn7wd1XDXpbbGpBjg50Q=mo,1,24.03.04,2024-04-26 23:16:51,,,24.03.04,5,Wowwwwww,,,,
Abyssinia Bank,com.boa.boaMobileBanking,e31e274a-a56f-4b24-95c5-796c1f6cf19f,Umear “Shushu” Sisay,https://play-lh.googleusercontent.com/a/ACg8ocKFQem7B1KBqm3r3Xn3by3U5JX6_te-QruIz5XVbi4Eu6zXXg=mo,4,24.03.04,2024-04-26 22:58:18,,,24.03.04,5,Very good application and easy too use,,,,
